CMDLINE /usr/local/bin/python3 JuliaSetTiming.py
MEM 0.351562 1706697844.7673
MEM 16.203125 1706697844.8721
MEM 22.019531 1706697844.9737
MEM 29.847656 1706697845.0783
MEM 38.101562 1706697845.1807
MEM 44.121094 1706697845.2810
MEM 72.640625 1706697845.3814
MEM 96.785156 1706697845.4826
MEM 117.847656 1706697845.5830
MEM 147.804688 1706697845.6835
MEM 152.273438 1706697845.7887
MEM 153.507812 1706697845.8916
MEM 154.031250 1706697845.9928
MEM 154.031250 1706697846.0990
MEM 154.031250 1706697846.2004
MEM 154.031250 1706697846.3006
MEM 154.031250 1706697846.4045
MEM 154.031250 1706697846.5048
MEM 154.031250 1706697846.6057
MEM 154.031250 1706697846.7067
MEM 154.031250 1706697846.8085
MEM 154.031250 1706697846.9132
MEM 47.800781 1706697847.0134
